timestamp,ground_truth,prediction,anomaly_score,anomaly_likelihood
2012-03-16 12:57:00,11173.0,11244.91693,0.0,0.5
2012-03-16 12:57:10,8861.0,9075.84,0.0,0.5
2012-03-16 12:57:20,10859.0,11223.341851,0.0,0.5
2012-03-16 12:57:30,10840.0,10859.0,0.0,0.5
2012-03-16 12:57:40,11151.0,10840.0,0.0,0.5
2012-03-16 12:57:50,11340.0,10866.4387909492,0.0,0.5
2012-03-16 12:58:00,9183.0,9011.387999999999,0.0,0.5
2012-03-16 12:58:10,11532.0,11243.147506989999,0.0,0.5
2012-03-16 12:58:20,15196.0,11243.147506989999,0.0,0.5
2012-03-16 12:58:30,12143.0,11625.24,0.0,0.5
2012-03-16 12:58:40,9238.0,12143.0,0.0,0.5
2012-03-16 12:58:50,11394.0,10866.4387909492,0.0,0.5
2012-03-16 12:59:00,11423.0,11625.24,0.0,0.5
2012-03-16 12:59:10,12461.0,11288.403254892997,0.0,0.5
2012-03-16 12:59:20,12497.0,11328.782278425098,0.0,0.5
2012-03-16 12:59:30,10301.0,9259.77,0.0,0.5
2012-03-16 12:59:40,11634.0,12391.008799999998,0.0,0.5
2012-03-16 12:59:50,12842.0,12391.008799999998,0.0,0.5
2012-03-16 13:00:00,11987.0,11328.782278425098,0.0,0.5
2012-03-16 13:00:10,13545.0,9011.387999999999,0.0,0.5
2012-03-16 13:00:20,33687.0,12073.66,0.0,0.5
2012-03-16 13:00:30,11593.0,33687.0,0.0,0.5
2012-03-16 13:00:40,11654.0,11328.782278425098,0.0,0.5
2012-03-16 13:00:50,11348.0,11617.407599999999,0.0,0.5
2012-03-16 13:01:00,11992.0,11628.385319999998,0.0,0.5
2012-03-16 13:01:10,11792.0,11628.385319999998,0.0,0.5
2012-03-16 13:01:20,12385.0,12049.162,0.0,0.5
2012-03-16 13:01:30,11335.0,12049.162,0.0,0.5
2012-03-16 13:01:40,12260.0,12389.206159999998,0.0,0.5
2012-03-16 13:01:50,10647.0,11334.683316428298,0.0,0.5
2012-03-16 13:02:00,13670.0,11334.683316428298,0.0,0.5
2012-03-16 13:02:10,14069.0,12350.444311999998,0.0,0.5
2012-03-16 13:02:20,18387.0,12350.444311999998,0.0,0.5
2012-03-16 13:02:30,14518.0,13579.844199999998,0.0,0.5
2012-03-16 13:02:40,12500.0,11677.469723999997,0.0,0.5
2012-03-16 13:02:50,16087.0,12350.444311999998,0.0,0.5
2012-03-16 13:03:00,14576.0,12395.311018399998,0.0,0.5
2012-03-16 13:03:10,12751.0,13579.844199999998,0.0,0.5
2012-03-16 13:03:20,11246.0,12751.0,0.0,0.5
2012-03-16 13:03:30,13157.0,11246.0,0.0,0.5
2012-03-16 13:03:40,12021.0,11308.078321499808,0.0,0.5
2012-03-16 13:03:50,12769.0,11308.078321499808,0.0,0.5
2012-03-16 13:04:00,16307.0,12040.713399999999,0.0,0.5
2012-03-16 13:04:10,15074.0,12800.989999999998,0.0,0.5
2012-03-16 13:04:20,14602.0,12395.311018399998,0.0,0.5
2012-03-16 13:04:30,13763.0,14602.0,0.0,0.5
2012-03-16 13:04:40,13890.0,13763.0,0.0,0.5
2012-03-16 13:04:50,10673.0,13890.0,0.0,0.5
2012-03-16 13:05:00,14163.0,10673.0,0.0,0.5
2012-03-16 13:05:10,13522.0,14163.0,0.0,0.5
2012-03-16 13:05:20,14003.0,13522.0,0.0,0.5
2012-03-16 13:05:30,17324.0,14003.0,0.0,0.5
2012-03-16 13:05:40,15605.0,17324.0,0.0,0.5
2012-03-16 13:05:50,14859.0,15605.0,0.0,0.5
2012-03-16 13:06:00,15457.0,14859.0,0.0,0.5
2012-03-16 13:06:10,16172.0,15457.0,0.0,0.5
2012-03-16 13:06:20,13484.0,16172.0,0.0,0.5
2012-03-16 13:06:30,11406.0,13484.0,0.0,0.5
2012-03-16 13:06:40,12191.0,11406.0,0.0,0.5
2012-03-16 13:06:50,16292.0,12191.0,0.0,0.5
2012-03-16 13:07:00,19500.0,16292.0,0.0,0.5
2012-03-16 13:07:10,16394.0,19500.0,0.0,0.5
2012-03-16 13:07:20,18478.0,16394.0,0.0,0.5
2012-03-16 13:07:30,17210.0,18478.0,0.0,0.5
2012-03-16 13:07:40,16361.0,17210.0,0.0,0.5
2012-03-16 13:07:50,16330.0,16361.0,0.0,0.5
2012-03-16 13:08:00,12100.0,16330.0,0.0,0.5
2012-03-16 13:08:10,14026.0,12100.0,0.0,0.5
2012-03-16 13:08:20,14479.0,14026.0,0.0,0.5
2012-03-16 13:08:30,16747.0,14479.0,0.0,0.5
2012-03-16 13:08:40,15506.0,16747.0,0.0,0.5
2012-03-16 13:08:50,13951.0,15506.0,0.0,0.5
2012-03-16 13:09:00,16151.0,13951.0,0.0,0.5
2012-03-16 13:09:10,18289.0,16151.0,0.0,0.5
2012-03-16 13:09:20,17858.0,18289.0,0.0,0.5
2012-03-16 13:09:30,39449.0,17858.0,0.0,0.5
2012-03-16 13:09:40,15208.0,39449.0,0.0,0.5
2012-03-16 13:09:50,17275.0,15208.0,0.0,0.5
2012-03-16 13:10:00,17255.0,17275.0,0.0,0.5
2012-03-16 13:10:10,34627.0,17255.0,0.0,0.5
2012-03-16 13:10:20,23430.0,34627.0,0.0,0.5
2012-03-16 13:10:30,20373.0,23430.0,0.0,0.5
2012-03-16 13:10:40,17935.0,20373.0,0.0,0.5
2012-03-16 13:10:50,12471.0,17935.0,0.0,0.5
2012-03-16 13:11:00,17356.0,12471.0,0.0,0.5
2012-03-16 13:11:10,20322.0,17356.0,0.0,0.5
2012-03-16 13:11:20,25933.0,16235.817669999997,0.0,0.5
2012-03-16 13:11:30,91628.0,25933.0,0.0,0.5
2012-03-16 13:11:40,80159.0,91628.0,0.0,0.5
2012-03-16 13:11:50,11396.0,13941.366739538698,0.0,0.5
2012-03-16 13:12:00,13785.0,11396.0,0.0,0.5
2012-03-16 13:12:10,14092.0,13785.0,0.0,0.5
2012-03-16 13:12:20,12802.0,14092.0,0.0,0.5
2012-03-16 13:12:30,17102.0,12802.0,0.0,0.5
2012-03-16 13:12:40,14773.0,17102.0,0.0,0.5
2012-03-16 13:12:50,19355.0,14773.0,0.0,0.5
2012-03-16 13:13:00,18582.0,19355.0,0.0,0.5
2012-03-16 13:13:10,33661.0,18582.0,0.0,0.5
2012-03-16 13:13:20,25232.0,33661.0,0.0,0.5
2012-03-16 13:13:30,12896.0,25232.0,0.0,0.5
2012-03-16 13:13:40,13572.0,12896.0,0.0,0.5
2012-03-16 13:13:50,12958.0,13572.0,0.0,0.5
2012-03-16 13:14:00,12892.0,12958.0,0.0,0.5
2012-03-16 13:14:10,10449.0,12892.0,0.0,0.5
2012-03-16 13:14:20,13544.0,10449.0,0.0,0.5
2012-03-16 13:14:30,15411.0,13544.0,0.0,0.5
2012-03-16 13:14:40,14713.0,15411.0,0.0,0.5
2012-03-16 13:14:50,12137.0,14713.0,0.0,0.5
2012-03-16 13:15:00,18102.0,12137.0,0.0,0.5
2012-03-16 13:15:10,20781.0,18102.0,0.0,0.5
2012-03-16 13:15:20,27695.0,20781.0,0.0,0.5
2012-03-16 13:15:30,13407.0,27695.0,0.0,0.5
2012-03-16 13:15:40,10633.0,13953.71970237396,0.0,0.5
2012-03-16 13:15:50,17940.0,10633.0,0.0,0.5
2012-03-16 13:16:00,19272.0,17940.0,0.0,0.5
2012-03-16 13:16:10,33477.0,19272.0,0.0,0.5
2012-03-16 13:16:20,58317.0,33477.0,0.0,0.5
2012-03-16 13:16:30,137487.0,58317.0,0.0,0.5
2012-03-16 13:16:40,102534.0,137487.0,0.0,0.5
2012-03-16 13:16:50,81375.0,102534.0,0.0,0.5
2012-03-16 13:17:00,112234.0,81375.0,0.025,0.5
2012-03-16 13:17:10,97134.0,112234.0,0.025,0.5
2012-03-16 13:17:20,143909.0,97134.0,0.025,0.5
2012-03-16 13:17:30,141242.0,143909.0,0.025,0.5
2012-03-16 13:17:40,133441.0,141242.0,0.025,0.5
2012-03-16 13:17:50,114459.0,133441.0,0.025,0.5
2012-03-16 13:18:00,105297.0,114459.0,0.025,0.5
2012-03-16 13:18:10,132710.0,105297.0,0.025,0.5
2012-03-16 13:18:20,92214.0,132710.0,0.025,0.5
2012-03-16 13:18:30,50597.0,92214.0,0.025,0.5
2012-03-16 13:18:40,56688.0,50597.0,0.025,0.5
2012-03-16 13:18:50,93816.0,56688.0,0.025,0.5
2012-03-16 13:19:00,105233.0,93816.0,0.025,0.5
2012-03-16 13:19:10,74538.0,105233.0,0.025,0.5
2012-03-16 13:19:20,76701.0,74538.0,0.025,0.5
2012-03-16 13:19:30,44616.0,76701.0,0.025,0.5
2012-03-16 13:19:40,53869.0,44616.0,0.025,0.5
2012-03-16 13:19:50,143309.0,53869.0,0.025,0.5
2012-03-16 13:20:00,34886.0,143309.0,0.025,0.5
2012-03-16 13:20:10,40303.0,34886.0,0.0,0.5
2012-03-16 13:20:20,36329.0,40303.0,0.0,0.5
2012-03-16 13:20:30,21817.0,36329.0,0.0,0.5
2012-03-16 13:20:40,24272.0,21817.0,0.0,0.5
2012-03-16 13:20:50,28132.0,97100.86199999998,0.0,0.5
2012-03-16 13:21:00,43051.0,28132.0,0.0,0.5
2012-03-16 13:21:10,43354.0,43051.0,0.0,0.5
2012-03-16 13:21:20,68175.0,43354.0,0.0,0.5
2012-03-16 13:21:30,82186.0,68175.0,0.0,0.5
2012-03-16 13:21:40,86159.0,105277.79999999999,0.0,0.5
2012-03-16 13:21:50,78047.0,86159.0,0.0,0.5
2012-03-16 13:22:00,84943.0,78047.0,0.0,0.5
2012-03-16 13:22:10,68767.0,84943.0,0.0,0.5
2012-03-16 13:22:20,75735.0,68767.0,0.0,0.5
2012-03-16 13:22:30,77410.0,75735.0,0.0,0.5
2012-03-16 13:22:40,69015.0,77410.0,0.0,0.5
2012-03-16 13:22:50,71337.0,69015.0,0.0,0.5
2012-03-16 13:23:00,77327.0,71337.0,0.0,0.5
2012-03-16 13:23:10,79329.0,77327.0,0.0,0.5
2012-03-16 13:23:20,73260.0,79329.0,0.0,0.5
2012-03-16 13:23:30,64323.0,73260.0,0.0,0.5
2012-03-16 13:23:40,64370.0,64323.0,0.0,0.5
2012-03-16 13:23:50,22565.0,64370.0,0.0,0.5
2012-03-16 13:24:00,33348.0,22565.0,0.0,0.5
2012-03-16 13:24:10,38800.0,33348.0,0.0,0.5
2012-03-16 13:24:20,35257.0,38800.0,0.0,0.5
2012-03-16 13:24:30,29361.0,35257.0,0.0,0.5
2012-03-16 13:24:40,32664.0,29361.0,0.0,0.5
2012-03-16 13:24:50,30155.0,32664.0,0.0,0.5
2012-03-16 13:25:00,26032.0,30155.0,0.0,0.5
2012-03-16 13:25:10,28028.0,26032.0,0.0,0.5
2012-03-16 13:25:20,34851.0,28028.0,0.0,0.5
2012-03-16 13:25:30,41762.0,34851.0,0.0,0.5
2012-03-16 13:25:40,31717.0,41762.0,0.0,0.5
2012-03-16 13:25:50,35301.0,31717.0,0.0,0.5
2012-03-16 13:26:00,39360.0,35301.0,0.0,0.5
2012-03-16 13:26:10,41565.0,39360.0,0.0,0.5
2012-03-16 13:26:20,40000.0,41565.0,0.0,0.5
2012-03-16 13:26:30,42042.0,40000.0,0.0,0.5
2012-03-16 13:26:40,34135.0,42042.0,0.0,0.5
2012-03-16 13:26:50,25449.0,34135.0,0.0,0.5
2012-03-16 13:27:00,20788.0,25449.0,0.025,0.5
2012-03-16 13:27:10,21492.0,20788.0,0.025,0.5
2012-03-16 13:27:20,18378.0,21492.0,0.025,0.5
2012-03-16 13:27:30,22362.0,18378.0,0.025,0.5
2012-03-16 13:27:40,21720.0,18438.626999999997,0.025,0.5
2012-03-16 13:27:50,25272.0,21720.0,0.025,0.5
2012-03-16 13:28:00,20519.0,21560.4,0.025,0.5
2012-03-16 13:28:10,22132.0,25289.569999999996,0.025,0.5
2012-03-16 13:28:20,21518.0,22132.0,0.025,0.5
2012-03-16 13:28:30,52356.0,22293.0,0.0,0.5
2012-03-16 13:28:40,124103.0,21547.68,0.0,0.5
2012-03-16 13:28:50,35135.0,20406.089999999997,0.0,0.5
2012-03-16 13:29:00,22284.0,35135.0,0.0,0.5
2012-03-16 13:29:10,23558.0,35229.64,0.0,0.5
2012-03-16 13:29:20,24660.0,22290.3,0.0,0.5
2012-03-16 13:29:30,28063.0,35229.64,0.0,0.5
2012-03-16 13:29:40,26527.0,28063.0,0.0,0.5
2012-03-16 13:29:50,27091.0,28089.459999999992,0.0,0.5
2012-03-16 13:30:00,22963.0,27091.0,0.0,0.5
