timestamp,total,total_tcp,total_http,total_udp,size,size_tcp,size_http,size_udp
datetime,int,int,int,int,int,int,int,int
T,,,,,,,,
2012-03-16 14:02:37,21586,21310,69,94,3990748,3965471,57712,12467
2012-03-16 14:02:47,16147,15941,75,32,3240922,3224497,22349,3935
2012-03-16 14:02:57,22738,22525,145,34,5022030,5005022,66670,4430
2012-03-16 14:03:07,25958,25734,40,44,6037447,6018110,12072,6414
2012-03-16 14:03:17,17082,16872,45,43,3203637,3186464,15932,5165
2012-03-16 14:03:27,15104,14899,51,26,2982033,2965761,34611,2831
2012-03-16 14:03:37,17987,17766,219,40,3481173,3464081,244789,4302
2012-03-16 14:03:47,18212,17930,98,100,3322740,3296366,46317,13226
2012-03-16 14:03:57,21591,21326,128,84,4912350,4890549,52489,8949
2012-03-16 14:04:07,19272,18986,74,102,4467383,4443812,35543,10342
2012-03-16 14:04:17,15802,15568,122,61,3170899,3151857,91432,6520
2012-03-16 14:04:27,22007,21789,151,34,5115157,5097820,62277,3580
2012-03-16 14:04:37,19554,19325,90,53,4331807,4312278,41693,7063
2012-03-16 14:04:47,23198,22964,229,46,5613953,5594670,209919,5629
2012-03-16 14:04:57,20160,19945,132,35,4531069,4514659,91109,3678
2012-03-16 14:05:07,20869,20628,80,48,3604134,3585119,40418,5348
2012-03-16 14:05:17,13045,12912,2,19,2460731,2450678,245,1985
