jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|sensorParams|encoders|size_tcp:n,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|size_http:n,  modelParams|sensorParams|encoders|total_tcp:n,  modelParams|sensorParams|encoders|size:n,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|total_http:n,  modelParams|sensorParams|encoders|total:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|sensorParams|encoders|total_udp:n,  modelParams|spParams|synPermInactiveDec,  modelParams|sensorParams|encoders|size_udp:n,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=total,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=total, 
1005,  1825,  completed,  eof,  2019-03-31 04:30:56,  2019-03-31 04:30:58,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0214522310047.modelParams|sensorParams|encoders|_classifierInput|n_135.modelParams|sensorParams|encoders|total_udp:n_113.modelParams|spParams|synPermInactiveDec_0.0926848588195,  361,  10,  None,  13,  None,  2,  None,  0.0214522310047,  None,  None,  None,  None,  None,  None,  135,  113,  0.0926848588195,  None,  9582.18783146,  40.0247744604, 
1005,  1826,  completed,  eof,  2019-03-31 04:30:56,  2019-03-31 04:30:58,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|sensorParams|encoders|size_tcp:n_76.modelParams|clParams|alpha_0.00987288804784.modelParams|sensorParams|encoders|_classifierInput|n_38.modelParams|spParams|synPermInactiveDec_0.0881678790941,  361,  10,  None,  12,  None,  1,  76,  0.00987288804784,  None,  None,  None,  None,  None,  None,  38,  None,  0.0881678790941,  None,  10794.7590071,  45.0896812097, 
1005,  1827,  completed,  eof,  2019-03-31 04:30:56,  2019-03-31 04:30:59,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|size_udp:n_66.modelParams|sensorParams|encoders|_classifierInput|n_52.modelParams|spParams|synPermInactiveDec_0.0886582114381,  361,  10,  None,  12,  None,  1,  None,  0.0001,  None,  None,  None,  None,  None,  None,  52,  None,  0.0886582114381,  66,  7907.17176238,  33.0282365547, 
1005,  1828,  completed,  eof,  2019-03-31 04:30:57,  2019-03-31 04:30:59,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0326598019534.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.11649924582.modelParams|sensorParams|encoders|_classifierInput|n_266.modelParams|spParams|synPermInactiveDec_0.0682491994493,  361,  10,  None,  14,  None,  1,  None,  0.0326598019534,  None,  None,  None,  3.11649924582,  None,  None,  266,  None,  0.0682491994493,  None,  6264.31183333,  26.166014765, 
1005,  1829,  completed,  eof,  2019-03-31 04:30:58,  2019-03-31 04:31:01,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.79148769473.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0109568515836.modelParams|sensorParams|encoders|_classifierInput|n_144.modelParams|spParams|synPermInactiveDec_0.0667151676091,  361,  10,  None,  13,  9.79148769473,  2,  None,  0.0109568515836,  None,  None,  None,  None,  None,  None,  144,  None,  0.0667151676091,  None,  6225.44690931,  26.0036760751, 
1005,  1830,  completed,  eof,  2019-03-31 04:30:58,  2019-03-31 04:31:01,  3,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0316266181447.modelParams|sensorParams|encoders|_classifierInput|n_222.modelParams|spParams|synPermInactiveDec_0.0677399788632,  361,  10,  1,  13,  None,  2,  None,  0.0316266181447,  None,  None,  None,  None,  None,  None,  222,  None,  0.0677399788632,  None,  6390.617975,  26.6935952009, 
1005,  1831,  completed,  eof,  2019-03-31 04:30:59,  2019-03-31 04:31:02,  3,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|total:n_66.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|_classifierInput|n_52.modelParams|spParams|synPermInactiveDec_0.0886582114381.modelParams|tmParams|activationThreshold_12,  361,  10,  None,  12,  None,  1,  None,  0.0001,  None,  None,  None,  None,  None,  66,  52,  None,  0.0886582114381,  None,  8903.82551775,  37.191256783, 
1005,  1832,  completed,  eof,  2019-03-31 04:30:59,  2019-03-31 04:31:02,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0309655190214.modelParams|sensorParams|encoders|_classifierInput|n_182.modelParams|sensorParams|encoders|total_udp:n_146.modelParams|spParams|synPermInactiveDec_0.0859383892975,  361,  10,  None,  13,  None,  2,  None,  0.0309655190214,  None,  None,  None,  None,  None,  None,  182,  146,  0.0859383892975,  None,  10503.9984284,  43.8751750043, 
1005,  1833,  completed,  eof,  2019-03-31 04:31:01,  2019-03-31 04:31:03,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|sensorParams|encoders|size_tcp:n_65.modelParams|clParams|alpha_0.00958763294174.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0901052343321,  361,  10,  None,  12,  None,  1,  65,  0.00958763294174,  None,  None,  None,  None,  None,  None,  28,  None,  0.0901052343321,  None,  12603.3970365,  52.6443577077, 
1005,  1834,  completed,  eof,  2019-03-31 04:31:01,  2019-03-31 04:31:04,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|size_udp:n_66.modelParams|sensorParams|encoders|_classifierInput|n_65.modelParams|spParams|synPermInactiveDec_0.0878438717676,  361,  10,  None,  12,  None,  1,  None,  0.0001,  None,  None,  None,  None,  None,  None,  65,  None,  0.0878438717676,  66,  8433.5510754,  35.2269216206, 
1005,  1835,  completed,  eof,  2019-03-31 04:31:02,  2019-03-31 04:31:04,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0330245596576.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.15848950808.modelParams|sensorParams|encoders|_classifierInput|n_265.modelParams|spParams|synPermInactiveDec_0.0698117857177,  361,  10,  None,  14,  None,  2,  None,  0.0330245596576,  None,  None,  None,  3.15848950808,  None,  None,  265,  None,  0.0698117857177,  None,  6378.07630833,  26.6412086908, 
1005,  1836,  completed,  eof,  2019-03-31 04:31:02,  2019-03-31 04:31:05,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.79990200301.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00824717286977.modelParams|sensorParams|encoders|_classifierInput|n_148.modelParams|spParams|synPermInactiveDec_0.0694586514343,  361,  10,  None,  13,  9.79990200301,  1,  None,  0.00824717286977,  None,  None,  None,  None,  None,  None,  148,  None,  0.0694586514343,  None,  6264.31183333,  26.166014765, 
1005,  1837,  completed,  eof,  2019-03-31 04:31:03,  2019-03-31 04:31:05,  2,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0273532628398.modelParams|sensorParams|encoders|_classifierInput|n_211.modelParams|spParams|synPermInactiveDec_0.0729203945243,  361,  10,  1,  14,  None,  3,  None,  0.0273532628398,  None,  None,  None,  None,  None,  None,  211,  None,  0.0729203945243,  None,  6352.05689806,  26.5325256795, 
1005,  1838,  completed,  eof,  2019-03-31 04:31:04,  2019-03-31 04:31:07,  3,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|total:n_66.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|_classifierInput|n_65.modelParams|spParams|synPermInactiveDec_0.0878438717676.modelParams|tmParams|activationThreshold_12,  361,  10,  None,  12,  None,  1,  None,  0.0001,  None,  None,  None,  None,  None,  66,  65,  None,  0.0878438717676,  None,  8999.5849805,  37.591243818, 
1005,  1839,  completed,  eof,  2019-03-31 04:31:04,  2019-03-31 04:31:07,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0243649568322.modelParams|sensorParams|encoders|_classifierInput|n_153.modelParams|sensorParams|encoders|total_udp:n_131.modelParams|spParams|synPermInactiveDec_0.090108252131,  361,  10,  None,  12,  None,  2,  None,  0.0243649568322,  None,  None,  None,  None,  None,  None,  153,  131,  0.090108252131,  None,  9460.24338953,  39.5154128333, 
1005,  1840,  completed,  eof,  2019-03-31 04:31:05,  2019-03-31 04:31:07,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0330088474404.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.13141606289.modelParams|sensorParams|encoders|_classifierInput|n_264.modelParams|spParams|synPermInactiveDec_0.0687027394219,  361,  10,  None,  14,  None,  1,  None,  0.0330088474404,  None,  None,  None,  3.13141606289,  None,  None,  264,  None,  0.0687027394219,  None,  6413.96420016,  26.7911123246, 
1005,  1841,  completed,  killed,  2019-03-31 04:31:06,  2019-03-31 04:31:07,  1,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|total:n_74.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.000339997975361.modelParams|sensorParams|encoders|_classifierInput|n_69.modelParams|spParams|synPermInactiveDec_0.085854671664.modelParams|tmParams|activationThreshold_12,  150,  10,  None,  12,  None,  1,  None,  0.000339997975361,  None,  None,  None,  None,  None,  74,  69,  None,  0.085854671664,  None,  2955.65100671,  24.6710329138, 
1005,  1842,  completed,  killed,  2019-03-31 04:31:07,  2019-03-31 04:31:07,  0,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0301082484153.modelParams|sensorParams|encoders|_classifierInput|n_178.modelParams|sensorParams|encoders|total_udp:n_146.modelParams|spParams|synPermInactiveDec_0.0840664747738,  50,  10,  None,  13,  None,  2,  None,  0.0301082484153,  None,  None,  None,  None,  None,  None,  178,  146,  0.0840664747738,  None,  1486.36048545,  54.2414810029, 
1005,  1843,  completed,  eof,  2019-03-31 04:31:07,  2019-03-31 04:31:09,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0307327709643.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.00435050007.modelParams|sensorParams|encoders|_classifierInput|n_246.modelParams|spParams|synPermInactiveDec_0.0711323425295,  361,  10,  None,  14,  None,  1,  None,  0.0307327709643,  None,  None,  None,  3.00435050007,  None,  None,  246,  None,  0.0711323425295,  None,  6264.31183333,  26.166014765, 
